ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,post_images
23,"02. The Community Tap - TR",,publish,1,gd_place,"2025-03-23 18:30:44","2025-04-18 15:12:36","Travelers Rest",",11,6,5,",11,0,"19668 S Main St",,"Travelers Rest","South Carolina","United States",29690,34.9609980847706," -82.44072530989833",
34,"01. O-Cha Tea Bar","Cozy corner cafe spot serving bubble &amp; loose-leaf teas, pastries, sandwiches &amp; vegetarian fare.",publish,1,gd_place,"2025-03-23 19:18:12","2025-03-26 03:43:59",Downtown,",8,6,5,",8,0,"300 River St #122",,Greenville,"South Carolina","United States",29601,34.84668562596198," -82.40230822062378",https://srtmaps.elev8maps.com/wp-content/uploads/2025/03/methodical-commons-1.png|3||
41,"02. Papi's Tacos","Tacos &amp; tortas with housemade salsas, plus agua fresca, doled out in a colorful counter-serve nook.",publish,1,gd_place,"2025-03-23 20:18:47","2025-03-24 00:26:05",Downtown,",11,6,5,",11,0,"300 River St #123",,Greenville,"South Carolina","United States",29601,34.8465313," -82.4023137",
45,"07. Liberty Bridge","This modern footbridge is made of suspension cables &amp; offers scenic views of the Reedy River Falls.",publish,1,gd_place,"2025-03-23 20:49:35","2025-03-24 02:15:09",Downtown,",12,",12,0,"206 S Main St",,Greenville,"South Carolina","United States",29601,34.844536909313426," -82.40104180417495",https://srtmaps.elev8maps.com/wp-content/uploads/2025/03/libertybridge.jpg|1||
67,"10. Linky Stone Park",,publish,1,gd_place,"2025-03-23 21:46:48","2025-04-19 03:14:54",Downtown,",22,38,",22,0,"24 Reedy View Dr",,Greenville,"South Carolina","United States",29601,34.8492734," -82.4036565",
77,"03. Spill the Beans","Gourmet roasts &amp; ice cream in a brick-walled coffeehouse with views of the Reedy River Falls.",publish,1,gd_place,"2025-03-24 00:53:09","2025-04-19 03:14:11",Downtown,",14,6,5,",14,0,"531 S Main St",,Greenville,"South Carolina","United States",29601,34.8452426," -82.40158129999999",
78,"04. Passerelle Bistro","Cozy spot for French meals, including Lyonnaise salad &amp; steak frites, made with local ingredients.",publish,1,gd_place,"2025-03-24 00:54:39","2025-04-19 03:14:11",Downtown,",15,6,5,",15,0,"601 S Main St",,Greenville,"South Carolina","United States",29601,34.8450288," -82.4016678",
79,"05. Carmella's Cafe and Dessert Bar","Casual eatery and bar serving up sandwiches, pizza, and an ever-changing selection of desserts.",publish,1,gd_place,"2025-03-24 00:56:26","2025-04-19 03:14:10",Downtown,",16,6,5,",16,0,"355 S Main St Suite 903",,Greenville,"South Carolina","United States",29601,34.8464094," -82.4007685",
80,"06. The Peace Center","Touring musicians &amp; resident theater troupes perform at this sizable, contemporary concert hall.",publish,1,gd_place,"2025-03-24 00:58:18","2025-03-24 00:59:27",Downtown,",17,",17,0,"300 S Main St",,Greenville,"South Carolina","United States",29601,34.8475226," -82.40170839999999",
95,"08. Cancer Survivors Park","Park featuring a boardwalk and a bridge, plus access to the Swamp Rabbit Trail.",publish,1,gd_place,"2025-03-24 02:27:03","2025-03-24 03:02:04",Downtown,",33,",33,0,"52 Cleveland St",,Greenville,"South Carolina","United States",29601,34.84135," -82.397637",
96,"Falls Park","Falls Park on the Reedy is a vibrant urban oasis in downtown Greenville’s Historic West End, offering a multi-use space for work, play, and celebration for all ages.",publish,1,gd_place,"2025-03-24 02:31:18","2025-06-11 21:27:11",Downtown,",2,",2,0,"206 S Main St, Greenville, SC 29601",,Greenville,"South Carolina","United States",29601,34.844260," -82.401846",
99,"Coastal Crust Pizza","Casual eatery serving wood-fired Neapolitan-style pizzas and other Italian plates, plus beer and wine.",publish,1,gd_place,"2025-03-24 03:20:44","2025-06-11 21:26:53","Travelers Rest",",8,6,5,",8,0,"327 Greenville Health System Swamp Rabbit Trail",,"Travelers Rest","South Carolina","United States",29690,34.96117411266049," -82.44057854536888",
100,"Bridge City Coffee","Cozy coffee shop offering quick bites and a selection of teas in a welcoming environment.",publish,1,gd_place,"2025-03-24 03:22:08","2025-06-11 21:26:48","Travelers Rest",",15,6,",15,0,"164D S Main St",,"Travelers Rest","South Carolina","United States",29690,34.96380344764189," -82.4411122672852",
101,"Farmhouse Tacos","Rustic-industrial stop for Tex-Mex plates such as tacos, burritos &amp; quesadillas plus margaritas.",publish,1,gd_place,"2025-03-24 03:24:00","2025-06-11 21:26:43","Travelers Rest",",14,6,5,",14,0,"164 S Main St STE B",,"Travelers Rest","South Carolina","United States",29690,34.963560540718056," -82.44102597287669",
102,"Sidewall Pizza","Creative Italian thin-crust pizzas &amp; salads pair with craft beers in a sunny, high-ceilinged space.",publish,1,gd_place,"2025-03-24 03:25:13","2025-06-11 21:26:38","Travelers Rest",",16,6,5,37,",16,0,"35 S Main St",,"Travelers Rest","South Carolina","United States",29690,34.965212," -82.4415424",
105,"Sunrift Adventures","Outdoor retailer specializing in gear for kayaking, camping, and biking, plus rentals.",publish,1,gd_place,"2025-03-24 03:51:28","2025-06-11 21:26:33","Travelers Rest",",21,",21,0,"1 Center St",,"Travelers Rest","South Carolina","United States",29690,34.9681738," -82.44383499999999",
106,"Pink Mama's Ice Cream","Playful counter-serve featuring classic ice cream in sprinkle waffle cones, plus floats &amp; sundaes.",publish,1,gd_place,"2025-03-24 03:52:59","2025-06-11 21:26:26","Travelers Rest",",17,37,",17,0,"11 S Main St",,"Travelers Rest","South Carolina","United States",29690,34.9666026," -82.4426269",
107,"Swamp Rabbit Brewery","Serving craft beer, hard cider, hard seltzer, wine, NA options, and snacks",publish,1,gd_place,"2025-03-24 03:55:40","2025-06-11 21:26:20","Travelers Rest",",18,6,",18,0,"26 S Main St",,"Travelers Rest","South Carolina","United States",29690,34.9671001," -82.4425399",
108,"Whistle Stop","Southern comfort food such as fried green tomatoes and wood-fired pizzas served in a historic setting with a rooftop and live music.",publish,1,gd_place,"2025-03-24 04:02:43","2025-06-11 21:26:15","Travelers Rest",",19,6,5,",19,0,"109 S Main St",,"Travelers Rest","South Carolina","United States",29690,34.9643452," -82.4413826",
109,"Tandem Creperie","Hip coffee shop featuring gourmet coffee drinks &amp; sweet &amp; savory crêpes in a charming atmosphere.",publish,1,gd_place,"2025-03-24 04:04:05","2025-06-11 21:26:09","Travelers Rest",",20,6,5,",20,0,"2 S Main St",,"Travelers Rest","South Carolina","United States",29690,34.9676137," -82.44343289999999",
111,"The Community Tap - Trailside","Craft-beer taproom also offering wine, snacks, and antipasto dishes, with a changing selection.",publish,1,gd_place,"2025-03-24 04:36:53","2025-06-11 21:26:04","Unity Park",",8,6,",8,0,"147 Welborn St",,Greenville,"South Carolina","United States",29601,34.8531293," -82.4139599",
112,"Moo Hogz","Smoked meats and sides such as mac 'n' cheese are served at this counter-service eatery with pop-up events.",publish,1,gd_place,"2025-03-24 04:49:54","2025-06-11 21:25:58","Unity Park",",11,6,5,",11,0,"157 Welborn St Suite B201",,Greenville,"South Carolina","United States",29601,34.8535827," -82.41456769999999",
113,"Methodical Coffee","Chill cafe serving breakfast and lunch such as avocado toast, plus ice cream.",publish,1,gd_place,"2025-03-24 04:51:26","2025-06-11 21:25:52","Unity Park",",14,6,5,",14,0,"147 Welborn St",,Greenville,"South Carolina","United States",29601,34.8531507," -82.413913",https://srtmaps.elev8maps.com/wp-content/uploads/2025/03/methodical-commons.png|2||
115,"Indigo Kitchen","Indian Street Cuisine and Experience, Reimagined for America.",publish,1,gd_place,"2025-03-24 04:58:55","2025-06-11 21:25:47","Unity Park",",15,6,5,",15,0,"157 Welborn St Suite B201",,Greenville,"South Carolina","United States",29601,34.8536495," -82.4144501",
116,"Automatic Taco","Tacos and other Mexican fare served in a laid-back restaurant with vegetarian options, plus live music.",publish,1,gd_place,"2025-03-24 05:03:59","2025-06-11 21:25:41","Unity Park",",16,6,5,",16,0,"147 Welborn St",,Greenville,"South Carolina","United States",29601,34.8531293," -82.4139599",
117,"Southern Side Brewing","10+ housebrewed beers on tap, a large indoor space, and an expansive outdoor area great for yard games and live music.",publish,1,gd_place,"2025-03-24 05:06:46","2025-06-11 21:25:33","Unity Park",",17,6,5,",17,0,"25 Delano Dr",,Greenville,"South Carolina","United States",29601,34.8528448," -82.4147524",
118,GB&D,"Burgers, fried chicken, avocado toast &amp; some Asian dishes, served in funky, no-frills surroundings.",publish,1,gd_place,"2025-03-24 05:09:02","2025-06-11 21:25:24","Unity Park",",5,",5,0,"147 Welborn St",,Greenville,"South Carolina","United States",29601,34.8531507," -82.413913",
119,"Unity Park Honor Tower","Iconic observation tower, built on one of the few pieces of ""high ground,"" south of the Reedy River",publish,1,gd_place,"2025-03-24 05:12:29","2025-06-11 21:25:08","Unity Park",",2,",2,0,"320 S Hudson St",,Greenville,"South Carolina","United States",29601,34.85110900832143," -82.41327155465683",
120,"Pangea Brewing","Brewery with a sizable beer selection and pizzas including gluten-free options, plus outdoor seating.",publish,1,gd_place,"2025-03-24 05:13:37","2025-06-11 21:24:36","Unity Park",",20,6,5,",20,0,"115 Welborn St Ste A",,Greenville,"South Carolina","United States",29601,34.8523664," -82.4129365",
121,"Unity Park Playground","Four state-of-the-art playgrounds, including a 4,100-square-foot splash pad.",publish,1,gd_place,"2025-03-24 05:16:14","2025-06-11 21:24:16","Unity Park",",22,38,",22,0,"13 Nassau St",,Greenville,"South Carolina","United States",29601,34.8523017467467," -82.41133131626684",https://srtmaps.elev8maps.com/wp-content/uploads/2025/05/unity-park-playground.webp|4||
138,"Swamp Rabbit Café & Grocery",,publish,1,gd_place,"2025-05-31 21:15:40","2025-05-31 21:15:40",,",6,5,37,38,",6,0,"205 Cedar Lane Rd",,Greenville,"South Carolina","United States",29601,34.869518," -82.42147709999999",
142,"End Point - Green Line - Travelers Rest",,draft,1,gd_place,"2025-06-11 23:12:55","2025-06-11 23:12:55",,,,0,,,Philadelphia,Pennsylvania,"United States",,,,
143,Keipi,"<em>Keipi</em> is a <a href=""https://protect-us.mimecast.com/s/xZD_C1w3BAIM35Qk7tYY_jF?domain=keipirestaurant.org"">non-profit restaurant</a> that offers food, wine and experiential dining from the Republic of Georgia.",publish,1,gd_place,"2025-06-12 05:20:08","2025-06-12 05:20:08","Hampton Station",",5,",5,0,"1320 Hampton Ave Ext",,Greenville,"South Carolina","United States",29601,34.8658507," -82.4157079",
144,"ICAR Parking",,publish,1,gd_place,"2025-06-13 14:16:08","2025-06-16 19:14:12",,",42,",42,0,"5 Research Dr",,Greenville,"South Carolina","United States",29607,34.81415575317139," -82.32836402112626",
146,Bowlero,,publish,1,gd_place,"2025-06-13 14:21:24","2025-06-13 14:21:24",,",39,",39,0,"740 S Pleasantburg Dr",,Greenville,"South Carolina","United States",29607,34.820957," -82.3709283",
148,"Inspire Coffee House",,publish,1,gd_place,"2025-06-21 20:17:53","2025-06-21 20:17:53",,",6,",6,0,"1433 Cleveland St",,Greenville,"South Carolina","United States",29607,34.8225337," -82.3728422",
149,"Orange Test POI",,publish,1,gd_place,"2025-06-21 20:42:59","2025-06-21 20:42:59",,",40,",40,0,"1402 Hampton Ave Ext",,"City View","South Carolina","United States",29601,34.86613798085013," -82.41802559956913",
